uniprot_id,type,total_surprisal_bits,replicate
P00533,natural,3819.981019433435,
P00533,shuffled,5139.924868712336,0.0
P00533,shuffled,5133.775277670181,1.0
P00533,shuffled,5156.692555798142,2.0
P00533,shuffled,5132.0580166267555,3.0
P00533,shuffled,5180.330561449093,4.0
P00533,shuffled,5151.004806794632,5.0
P00533,shuffled,5132.486301410564,6.0
P00533,shuffled,5167.093986206427,7.0
P00533,shuffled,5171.988211730406,8.0
P00533,shuffled,5153.408760510387,9.0
P00533,reversed,4736.016608941846,
P00533,random_uniform,5293.379349110064,0.0
P00533,random_uniform,5311.144237180975,1.0
P00533,random_uniform,5319.879775011925,2.0
P00533,random_uniform,5277.096663246667,3.0
P00533,random_uniform,5289.686116961174,4.0
P00533,random_uniform,5306.671046512157,5.0
P00533,random_uniform,5277.902586675326,6.0
P00533,random_uniform,5289.663551289536,7.0
P00533,random_uniform,5285.183685286108,8.0
P00533,random_uniform,5283.28407017806,9.0
P00533,random_background,5087.817093233529,0.0
P00533,random_background,5093.102382196103,1.0
P00533,random_background,5063.460792582205,2.0
P00533,random_background,5093.508753810451,3.0
P00533,random_background,5082.839502387214,4.0
P00533,random_background,5111.9439446070655,5.0
P00533,random_background,5076.699184821576,6.0
P00533,random_background,5109.224923834408,7.0
P00533,random_background,5079.789643307867,8.0
P00533,random_background,5083.598683855074,9.0
P01308,natural,409.91591753754636,
P01308,shuffled,462.72163875269376,0.0
P01308,shuffled,459.1882976704321,1.0
P01308,shuffled,467.4134339892839,2.0
P01308,shuffled,462.7672638581585,3.0
P01308,shuffled,468.75436964737975,4.0
P01308,shuffled,460.2830234815007,5.0
P01308,shuffled,463.35535474916554,6.0
P01308,shuffled,462.84450315847016,7.0
P01308,shuffled,467.35471825236607,8.0
P01308,shuffled,457.3532040896295,9.0
P01308,reversed,445.04609050942616,
P01308,random_uniform,491.71587019030574,0.0
P01308,random_uniform,486.9288389588611,1.0
P01308,random_uniform,491.38552591452844,2.0
P01308,random_uniform,493.4492191788232,3.0
P01308,random_uniform,489.0476236836807,4.0
P01308,random_uniform,492.62357157588445,5.0
P01308,random_uniform,499.46883949206864,6.0
P01308,random_uniform,484.52952060550297,7.0
P01308,random_uniform,492.3606644492329,8.0
P01308,random_uniform,497.74827689769484,9.0
P01308,random_background,472.80978986373304,0.0
P01308,random_background,475.87924196983977,1.0
P01308,random_background,464.6769731439339,2.0
P01308,random_background,484.6983661208314,3.0
P01308,random_background,465.6244965963719,4.0
P01308,random_background,458.8203014048841,5.0
P01308,random_background,465.79944818373656,6.0
P01308,random_background,466.456862013636,7.0
P01308,random_background,463.4053599087825,8.0
P01308,random_background,460.931317071425,9.0
P02452,natural,3542.766373627997,
P02452,shuffled,5262.017712161814,0.0
P02452,shuffled,5254.477780435406,1.0
P02452,shuffled,5252.8792044473585,2.0
P02452,shuffled,5251.811459188566,3.0
P02452,shuffled,5248.257106039944,4.0
P02452,shuffled,5222.2030038381745,5.0
P02452,shuffled,5246.307860350492,6.0
P02452,shuffled,5260.6573007583775,7.0
P02452,shuffled,5264.023733365908,8.0
P02452,shuffled,5245.4894841740315,9.0
P02452,reversed,3878.8127425638427,
P02452,random_uniform,6366.277280011239,0.0
P02452,random_uniform,6405.15617991066,1.0
P02452,random_uniform,6417.371487088041,2.0
P02452,random_uniform,6406.142474959926,3.0
P02452,random_uniform,6406.424151585163,4.0
P02452,random_uniform,6412.316192588259,5.0
P02452,random_uniform,6381.6836346405225,6.0
P02452,random_uniform,6383.026762905434,7.0
P02452,random_uniform,6420.403137923437,8.0
P02452,random_uniform,6402.8916478864285,9.0
P02452,random_background,6162.552390122272,0.0
P02452,random_background,6147.248999958217,1.0
P02452,random_background,6175.161163679846,2.0
P02452,random_background,6126.436876844002,3.0
P02452,random_background,6162.419723737292,4.0
P02452,random_background,6152.792680986909,5.0
P02452,random_background,6105.260843084094,6.0
P02452,random_background,6157.782223251597,7.0
P02452,random_background,6115.403097013389,8.0
P02452,random_background,6125.603389755889,9.0
P02649,natural,1034.127021316323,
P02649,shuffled,1254.8253877432858,0.0
P02649,shuffled,1269.7294525941818,1.0
P02649,shuffled,1243.1475751069327,2.0
P02649,shuffled,1278.9699567695145,3.0
P02649,shuffled,1245.0635181618625,4.0
P02649,shuffled,1255.8143111174136,5.0
P02649,shuffled,1267.5125685353532,6.0
P02649,shuffled,1256.1085281156113,7.0
P02649,shuffled,1278.3906442169728,8.0
P02649,shuffled,1265.5486004430572,9.0
P02649,reversed,1099.6750975261925,
P02649,random_uniform,1419.1101152754454,0.0
P02649,random_uniform,1406.9444362717106,1.0
P02649,random_uniform,1418.1548032446976,2.0
P02649,random_uniform,1424.0149351027,3.0
P02649,random_uniform,1408.1971568686993,4.0
P02649,random_uniform,1397.0312138743434,5.0
P02649,random_uniform,1417.4519378398281,6.0
P02649,random_uniform,1409.3612591052647,7.0
P02649,random_uniform,1422.5410200512001,8.0
P02649,random_uniform,1403.3282604335914,9.0
P02649,random_background,1346.2006298879678,0.0
P02649,random_background,1331.717199688604,1.0
P02649,random_background,1340.8423886366202,2.0
P02649,random_background,1321.5869107643116,3.0
P02649,random_background,1325.4780466172201,4.0
P02649,random_background,1363.0660485228839,5.0
P02649,random_background,1344.952499163965,6.0
P02649,random_background,1314.2370221888727,7.0
P02649,random_background,1340.568847134735,8.0
P02649,random_background,1348.51970999354,9.0
P04406,natural,1290.6942117473607,
P04406,shuffled,1434.8045018048622,0.0
P04406,shuffled,1425.6291143887297,1.0
P04406,shuffled,1431.1395207300811,2.0
P04406,shuffled,1413.3572274989547,3.0
P04406,shuffled,1412.6129314734924,4.0
P04406,shuffled,1425.55221647398,5.0
P04406,shuffled,1413.890536928165,6.0
P04406,shuffled,1387.8955074992966,7.0
P04406,shuffled,1405.0795563276745,8.0
P04406,shuffled,1427.2468048725593,9.0
P04406,reversed,1375.2539942924086,
P04406,random_uniform,1486.254141470602,0.0
P04406,random_uniform,1473.0276361561102,1.0
P04406,random_uniform,1477.207081833116,2.0
P04406,random_uniform,1493.3441988291002,3.0
P04406,random_uniform,1494.658021078322,4.0
P04406,random_uniform,1477.232275055693,5.0
P04406,random_uniform,1482.2258998445473,6.0
P04406,random_uniform,1478.5288899247482,7.0
P04406,random_uniform,1477.8457485221754,8.0
P04406,random_uniform,1497.2117816579728,9.0
P04406,random_background,1410.6418102787816,0.0
P04406,random_background,1436.7903065343382,1.0
P04406,random_background,1420.9988445696245,2.0
P04406,random_background,1424.1990752071524,3.0
P04406,random_background,1435.9676509135766,4.0
P04406,random_background,1454.5829135650372,5.0
P04406,random_background,1408.5124726125136,6.0
P04406,random_background,1428.3190408563398,7.0
P04406,random_background,1416.8503083025626,8.0
P04406,random_background,1436.0865010722991,9.0
P04637,natural,1510.4329348078763,
P04637,shuffled,1669.268122271162,0.0
P04637,shuffled,1666.1650327663035,1.0
P04637,shuffled,1651.1167288178515,2.0
P04637,shuffled,1663.5536370167304,3.0
P04637,shuffled,1675.8441346651032,4.0
P04637,shuffled,1669.38818404766,5.0
P04637,shuffled,1660.7268035879183,6.0
P04637,shuffled,1653.9607255992717,7.0
P04637,shuffled,1668.0109199782744,8.0
P04637,shuffled,1661.4531458285092,9.0
P04637,reversed,1580.860622767758,
P04637,random_uniform,1736.1481342873435,0.0
P04637,random_uniform,1738.8229720290628,1.0
P04637,random_uniform,1737.838324229627,2.0
P04637,random_uniform,1741.0695081326746,3.0
P04637,random_uniform,1726.2443339595038,4.0
P04637,random_uniform,1751.5451316845588,5.0
P04637,random_uniform,1741.290951274099,6.0
P04637,random_uniform,1744.6909944080912,7.0
P04637,random_uniform,1726.5355377356673,8.0
P04637,random_uniform,1733.1876495289102,9.0
P04637,random_background,1648.8582421557794,0.0
P04637,random_background,1669.1759421500392,1.0
P04637,random_background,1633.3985407439727,2.0
P04637,random_background,1661.2565813533931,3.0
P04637,random_background,1670.161296712179,4.0
P04637,random_background,1656.026274986326,5.0
P04637,random_background,1650.7374699244463,6.0
P04637,random_background,1667.133652298627,7.0
P04637,random_background,1658.065773645306,8.0
P04637,random_background,1649.6139027948107,9.0
P13569,natural,4913.636548830352,
P13569,shuffled,6179.741291785109,0.0
P13569,shuffled,6186.587207043991,1.0
P13569,shuffled,6181.857577859986,2.0
P13569,shuffled,6199.386826825523,3.0
P13569,shuffled,6188.732742982222,4.0
P13569,shuffled,6174.602446221727,5.0
P13569,shuffled,6188.374723860207,6.0
P13569,shuffled,6173.579738833639,7.0
P13569,shuffled,6175.827840323338,8.0
P13569,shuffled,6164.736250932395,9.0
P13569,reversed,6023.1475405164,
P13569,random_uniform,6466.977284759495,0.0
P13569,random_uniform,6461.844581212524,1.0
P13569,random_uniform,6474.956702241788,2.0
P13569,random_uniform,6501.481519411124,3.0
P13569,random_uniform,6488.09035549894,4.0
P13569,random_uniform,6488.342206892863,5.0
P13569,random_uniform,6468.937878036233,6.0
P13569,random_uniform,6467.911919488112,7.0
P13569,random_uniform,6454.7745935414505,8.0
P13569,random_uniform,6460.341216195855,9.0
P13569,random_background,6211.452854437815,0.0
P13569,random_background,6213.5958494183715,1.0
P13569,random_background,6193.989795747186,2.0
P13569,random_background,6206.952872311646,3.0
P13569,random_background,6159.682938532663,4.0
P13569,random_background,6251.415731920558,5.0
P13569,random_background,6237.712771029595,6.0
P13569,random_background,6192.730071672689,7.0
P13569,random_background,6217.068526716229,8.0
P13569,random_background,6186.054708856945,9.0
P38398,natural,7471.693263532512,
P38398,shuffled,7670.981381426962,0.0
P38398,shuffled,7709.678970852486,1.0
P38398,shuffled,7703.338893890026,2.0
P38398,shuffled,7691.972691717267,3.0
P38398,shuffled,7682.716337104882,4.0
P38398,shuffled,7699.1883901414385,5.0
P38398,shuffled,7679.495637952162,6.0
P38398,shuffled,7692.674654041236,7.0
P38398,shuffled,7721.053847314208,8.0
P38398,shuffled,7687.395424371417,9.0
P38398,reversed,7671.652193221312,
P38398,random_uniform,8140.964112048662,0.0
P38398,random_uniform,8142.223819268859,1.0
P38398,random_uniform,8129.691650223633,2.0
P38398,random_uniform,8139.939843574051,3.0
P38398,random_uniform,8151.476534728352,4.0
P38398,random_uniform,8126.899956634011,5.0
P38398,random_uniform,8133.133989609895,6.0
P38398,random_uniform,8141.462647445781,7.0
P38398,random_uniform,8126.29771432256,8.0
P38398,random_uniform,8126.992632581116,9.0
P38398,random_background,7774.357523417847,0.0
P38398,random_background,7796.8098306267975,1.0
P38398,random_background,7805.558769345902,2.0
P38398,random_background,7896.3365645713875,3.0
P38398,random_background,7849.5308164386315,4.0
P38398,random_background,7828.873816172051,5.0
P38398,random_background,7824.278072042089,6.0
P38398,random_background,7808.908653954749,7.0
P38398,random_background,7810.6011923201295,8.0
P38398,random_background,7789.6977054864365,9.0
P60709,natural,839.6588926324235,
P60709,shuffled,1618.9314635149665,0.0
P60709,shuffled,1605.8561916604588,1.0
P60709,shuffled,1599.7595748864048,2.0
P60709,shuffled,1611.6332548661987,3.0
P60709,shuffled,1613.2247821453004,4.0
P60709,shuffled,1620.4893680138418,5.0
P60709,shuffled,1609.7790165206673,6.0
P60709,shuffled,1606.0915535298002,7.0
P60709,shuffled,1616.490724945966,8.0
P60709,shuffled,1603.316411378514,9.0
P60709,reversed,1585.7058725772727,
P60709,random_uniform,1652.3269762354178,0.0
P60709,random_uniform,1639.2821974208562,1.0
P60709,random_uniform,1649.949360114798,2.0
P60709,random_uniform,1639.376162205947,3.0
P60709,random_uniform,1654.5968503847516,4.0
P60709,random_uniform,1654.2466734136422,5.0
P60709,random_uniform,1653.0232311968807,6.0
